lat,lon,mua_vu_encoded,nam_offset,gan_bien,tổng số giờ nắng,tổng lượng mưa,độ ẩm trung bình,nhiệt độ trung bình,dien_tich,dien_tich_lag1_ss,dien_tich_lag2_ss,dien_tich_roll2_ss,dien_tich_cross,nang_suat_lag1_ss,nang_suat_lag2_ss,nang_suat_roll2_ss,nang_suat_cross,nang_suat
9.2833,105.7167,0,16,1,1456.44,766.2,80.31,25.82,45.8,44.6,42.2,43.400000000000006,56.9,5.641255605381166,5.831753554502369,5.7365045799417675,5.04920913884007,6.665938864628822
9.2833,105.7167,0,17,1,1531.64,397.9,80.17,26.32,54.6,45.8,44.6,45.2,55.8,6.665938864628822,5.641255605381166,6.153597235004994,5.396057347670252,6.338827838827839
9.2833,105.7167,0,18,1,1567.24,356.8,78.32,26.74,49.3,54.6,45.8,50.2,55.8,6.338827838827839,6.665938864628822,6.50238335172833,5.365591397849462,6.596348884381339
9.2833,105.7167,0,19,1,1580.75,259.7,77.85,25.66,46.2,49.3,54.6,51.95,56.4,6.596348884381339,6.338827838827839,6.467588361604589,5.4787234042553195,7.244588744588744
9.2833,105.7167,0,20,1,1607.53,356.9,78.08,26.07,46.6,46.2,49.3,47.75,56.0,7.244588744588744,6.596348884381339,6.920468814485041,5.5375000000000005,7.278969957081545
9.2833,105.7167,0,21,1,1632.25,335.2,77.56,26.97,45.6,46.6,46.2,46.400000000000006,101.8,7.278969957081545,7.244588744588744,7.261779350835145,5.744597249508841,6.765350877192982
9.2833,105.7167,0,22,1,1473.14,570.5,80.3,26.37,46.3,45.6,46.6,46.1,97.8,6.765350877192982,7.278969957081545,7.022160417137263,5.763803680981596,7.198704103671707
9.2833,105.7167,0,23,1,1474.35,436.6,79.2,26.14,48.4,46.3,45.6,45.95,103.0,7.198704103671707,6.765350877192982,6.982027490432344,5.656310679611651,7.367768595041323
9.2833,105.7167,0,24,1,1581.24,349.9,77.88,26.76,48.3,48.4,46.3,47.349999999999994,102.9,7.367768595041323,7.198704103671707,7.283236349356515,5.798833819241983,7.455486542443065
9.2833,105.7167,0,25,1,1682.49,118.8,74.42,26.82,47.5,48.3,48.4,48.349999999999994,103.1,7.455486542443065,7.367768595041323,7.411627568742194,5.873908826382154,7.667368421052632
